"id","MS2 name","MS2 score","MS1 name","MS1 ppm","type","mzmed","rtmed","QC01_pos.QC01","QC010_pos.QC010","QC02_pos.QC02","QC03_pos.QC03","QC04_pos.QC04","QC05_pos.QC05","QC06_pos.QC06","QC07_pos.QC07","QC08_pos.QC08","QC09_pos.QC09","A01_pos.A01","A02_pos.A02","A03_pos.A03","A04_pos.A04","A05_pos.A05","A06_pos.A06","A07_pos.A07","A08_pos.A08","A09_pos.A09","A10_pos.A10","A13_pos.A13","A14_pos.A14","A15_pos.A15","A16_pos.A16","A17_pos.A17","A18_pos.A18","B01_pos.B01","B02_pos.B02","B03_pos.B03","B04_pos.B04","B05_pos.B05","B06_pos.B06","B07_pos.B07","B08_pos.B08","B09_pos.B09","B10_pos.B10","B13_pos.B13","B14_pos.B14","B15_pos.B15","B16_pos.B16","B17_pos.B17","B18_pos.B18","C01_pos.C01","C02_pos.C02","C03_pos.C03","C04_pos.C04","C05_pos.C05","C06_pos.C06","C07_pos.C07","C08_pos.C08","C09_pos.C09","C10_pos.C10","C11_pos.C11","C12_pos.C12","C13_pos.C13","C14_pos.C14","C15_pos.C15","C16_pos.C16","C17_pos.C17","C18_pos.C18","D01_pos.D01","D02_pos.D02","D03_pos.D03","D04_pos.D04","D05_pos.D05","D06_pos.D06","D07_pos.D07","D08_pos.D08","D09_pos.D09","D10_pos.D10","D11_pos.D11","D12_pos.D12","D13_pos.D13","D14_pos.D14","D15_pos.D15","D16_pos.D16","D17_pos.D17","D18_pos.D18"
185,"1-Aminocyclopropane-1-carboxylic acid",0.6008,NA,NA,"MS2 forward",84.04487073,152.6985,40015.86256,38478.34305,34526.49332,37862.86625,44260.23992,41032.86088,34888.76863,36587.19411,39819.24019,38195.37153,23622.89148,29168.80465,31115.98921,30736.96149,35712.4935,28661.55953,36895.84617,28495.58946,23099.2544,36452.28941,31243.39086,28375.40476,28215.00806,37931.19927,53780.1222,35924.97977,42598.35608,59303.10421,27970.28656,53628.89227,35386.83838,43140.16953,23490.17765,33339.94125,38190.4756,32330.08538,37454.44743,26274.2833,28781.78968,40466.91165,35820.74367,43879.73259,45653.31379,44671.23889,52021.48119,50374.82256,47584.51579,50537.27573,36110.96142,49026.89857,30942.82724,41119.18038,43160.78248,37086.04853,37014.60102,30674.77089,41214.73767,55809.3886,40827.34929,55547.37705,31399.75352,32056.64089,23418.17403,27606.9417,25396.42121,45007.84881,27735.62493,22454.0368,31486.06069,31458.5728,27440.47559,20038.20488,30037.16413,19512.78546,33473.81738,51662.62372,34596.18898,23747.39107
188,NA,NA,NA,NA,"Unmapped",84.08112849,216.063,211402.89,155625.343,162013.587,152884.3247,168304.3415,181739.3783,153403.446,169093.8176,176607.9491,154523.9565,169658.196,159146.1023,143354.1505,168473.628,173495.023,160197.0017,172134.0309,164951.602,144536.927,121841.4247,179295.2518,142204.9545,123398.1569,149298.7648,120962.0781,164874.897,200893.46,212937.0159,116060.8521,202361.2788,129432.0609,164348.701,153432.404,171869.9359,131317.1204,98749.0539,178283.6459,141086.446,101935.7447,155537.49,148283.9298,205717.7722,216242.9229,174401.7784,138581.7919,194976.706,191485.6243,147414.8774,163679.5932,143079.6776,126094.7753,115518.2847,191839.4398,137650.4068,179699.2181,133236.417,158199.8366,182817.351,176607.7722,236494.1008,202970.1645,140921.4034,150605.9616,159163.2533,154364.321,141767.9204,167818.7141,145854.4166,166855.557,138099.6274,178988.804,121467.4505,266664.9948,150517.865,158189.2869,150080.4969,183828.4954,168821.9416
201,"Succinic semialdehyde",0.7904,NA,NA,"MS2 reverse",85.02856504,290.562,129637.15,125743.2124,144321.6,135875.4238,121537.3886,117659.785,130779.684,127691.7767,115884.7542,119895.2601,53184.21287,100656.6279,180379.2454,76671.29467,184406.6868,38900.82308,34100.9765,133574.7552,61825.725,78068.739,113668.905,105442.1966,80370.47429,59004.00943,100457.2758,122299.168,40288.49467,131516.2131,129894.33,71390.51193,113297.2689,94382.275,34013.43643,103161.8512,57267.84136,35827.3215,65267.57747,89811.25057,39236.1255,52617.34643,60533.21671,98107.0626,95255.811,185227.175,202703.9049,101267.0018,132856.3827,33060.92769,166038.8835,62755.08267,76362.83914,77240.56479,203772.7369,51878.69486,68255.44846,69349.63286,103030.683,41882.54786,309938.7785,142671.8762,90279.53413,75728.3098,243998.6751,63034.16555,161940.18,126862.2366,106715.56,159564.2273,116552.56,128054.8457,147296.5428,126497.715,144758.8664,141095.2911,164559.8381,54664.83667,148649.1255,181935.81
222,NA,NA,"2-Pyrrolidinone;Acetone cyanohydrin;Acetone cyanohydrin;alpha-Hydroxyisobutyronitrile;2-Hydroxy-2-methylpropanenitrile;2-Methyllactonitrile;Acetone cyanhydrin;2-Hydroxyisobutyronitrile","15.709659974797;15.709659974797;15.2846231987721","MS1 mz matched",86.06030428,298.796,194571.9086,186133.12,188214.7116,172070.2091,191076.8652,238365.1273,194248.0872,206004.7763,187871.99,180586.7482,248071.4595,184645.412,249839.9112,171005.0291,189093.0912,209523.5706,260882.3745,244539.5812,269723.4233,235048.4931,190781.8255,234753.3333,206045.6408,179399.533,185273.0078,198973.1597,225714.7022,141298.7638,223291.36,157682.5093,203870.0317,132081.9858,180254.4,217370.5637,262533.86,232951.8527,153989.4294,217597.7142,218881.0133,175331.3719,163368.5817,134640.6111,195965.7088,150432.4733,170502.3216,158220.3003,172739.1333,164378.2292,164137.5833,224943.0904,219907.7546,213478.1417,167129.2223,218661.399,181830.2778,178657.3117,223839.51,135660.8611,106391.5032,196401.7665,207542.2775,175963.6144,212006.4898,202044.5441,189648.9627,190920.6911,224179.7412,273008.2526,219617.1586,186658.1354,182107.0628,228045.062,153514.9629,224211.3689,175131.1536,161299.8537,165940.0949,167687.8229
224,NA,NA,"Isoxazolin-5-one;5-Hydroxyisoxazole","-16.4586992455314","MS1 mz matched",86.06085471,112.3545,1681455.565,1514505.806,1560150.33,1528060.322,1601812.323,1698673.474,1608458.068,1452665.599,1476516.365,1573051.936,2684852.446,1130913.418,1794831.64,2030126.317,1294691.338,1316826.496,1776513.396,1573496.864,892148.015,1126095.582,1777114.058,1195288.641,1334062.31,933943.7332,1089599.837,1237844.311,2144560.254,1336501.764,1153052.86,1916141.673,901124.7734,1302014.653,1172654.906,1455338.313,1091750.922,801055.359,1602539.28,942405.7169,860067.0121,787043.8637,1197109.751,1368493.176,1470851.034,1082700.454,821899.8239,1310702.166,998492.6939,832537.5214,901213.8179,937579.9786,805210.2095,705104.145,1235701.091,866614.245,1159848.336,985035.1098,797274.8834,858056.4038,1321840.573,1308006.992,3252290.876,1227185.907,1717965.177,2598763.57,1097568.144,1587823.05,1615828.915,1651921.889,1826444.364,1223338.308,1677639.716,1171901.643,2493081.019,1263400.128,1810498.871,895505.7395,1504101.309,1428995.915
232,NA,NA,NA,NA,"Unmapped",86.07149788,162.206,1303971.121,1268809.204,1281226.063,1439927.322,1373221.204,1507423.448,1331903.998,1310664.821,1320012.6,1388603.814,1436966.957,1189452.631,1162238.492,1369644.674,1390333.479,1195109.024,1340812.176,1115265.501,808459.5849,1016856.125,1080969.221,973469.2697,1029884.989,1012413.322,1036494.876,1096101.486,1491253.096,1357166.336,1177046.824,1365899.14,1147651.269,1412743.575,1295200.085,1223307.747,1013940.322,978366.8572,1157444.231,1028437.497,1014741.484,1145954.585,1133492.188,1344078.579,1469072.214,1497078.746,1388769.087,1605293.767,1411604.51,1287475.112,1367722.465,1219070.792,1044417.791,1103649.574,1319458.613,1295046.9,1283753.137,1181757.499,1130367.723,1272764.217,1230698.453,1456101.273,1429542.629,1146045.613,1277479.497,1260786.28,1150295.099,1207899.759,1391056.497,1170347.864,1159553.253,1052852.33,1198663.577,963059.3545,1355178.665,1062518.293,1143744.868,1134483.151,1295377.824,1082972.035
233,NA,NA,NA,NA,"Unmapped",86.09719205,252.44,1296997.804,1214750.627,1281310.37,1307328.088,1312418.292,1201704.106,1299568.374,1213911.677,1123277.994,1262278.206,1272848.429,1074554.191,759397.3579,1615134.077,335643.8704,919025.4587,3087118.005,1048087.597,1340893.973,990484.1004,1188369.959,617873.7459,851855.4867,1159361.41,741323.25,1028809.983,1210118.732,868427.0204,664995.6197,1836162.47,589032.2968,1138156.632,1148429.36,1333221.867,2124272.336,1108718.394,1042552.017,545685.5351,896644.1567,641546.6191,945901.5442,3174110.802,1240913.636,457631.6952,436927.7423,715266.6479,423174.1924,448611.3089,400561.395,1283178.497,1405418.509,1005062.459,711508.8,552244.2805,365053.2753,528529.4508,752165.1142,306070.002,1194955.84,2991406.932,1485859.892,1196490.008,710462.3194,1921796.51,403322.9781,922331.0775,2107430.632,1202167.626,1386244.12,1336559.656,475052.0407,539286.579,1159353.195,627140.8955,561754.9016,1340832.261,1094283.696,1159672.293
298,"4-Aminophenol",0.9339,NA,NA,"MS2 forward",92.04965292,272.08,59086.14136,53955.82006,54009.9225,45128.51735,56140.28668,57655.58,53960.30788,55923.4775,58241.86759,47791.821,68419.48431,61884.79613,58557.82772,54670.211,70362.145,54792.71135,58643.54475,60951.62965,60749.56235,63122.16081,55910.604,54457.75471,62371.96563,65978.71667,63602.00406,54668.944,55455.13967,44589.5,54801.9675,49152.75131,58239.34988,46703.04055,52155.64787,48945.5925,55477.92276,65432.2025,50076.92869,55477.31733,54615.58765,52915.00713,47748.519,55749.8162,17048.41071,24168.48331,35576.57647,28306.2736,37824.0996,34295.7658,34082.296,31804.255,46785.217,35380.058,37567.42063,38461.82095,39073.11881,33805.2,29659.22838,32169.20615,16963.58714,25607.86829,62205.86136,56514.12244,57136.81969,65389.896,70293.90667,50493.3165,56823.23529,51378.509,66882.25629,73374.03412,53569.273,61811.53756,59398.83881,52145.30719,62635.765,60497.74813,50005.4325,61680.6065
299,NA,NA,NA,NA,"Unmapped",92.04970055,93.031,245939.199,214571.4057,226371.493,235575.6685,229492.5359,240820.5771,228098.3967,215719.6049,214376.523,222395.7875,165556.8364,231793.9119,145299.5593,180445.7314,197407.2796,108903.5592,216862.352,192062.7911,95604.75405,143745.463,262572.909,225635.3105,149507.16,160024.8033,173825.153,275726.6704,170182.0775,321638.79,91134.38286,204892.2808,127688.6608,129378.3818,130958.7147,171053.701,113654.5839,78145.2385,198499.2797,176540.2619,96717.79268,194683.3186,225813.5975,192011.9996,191762.3862,261207.8296,142368.6661,180460.0746,172035.1951,117572.2324,175448.2283,156765.2645,102814.178,103285.017,140592.9281,165962.2909,148209.6677,268358.2254,139477.5916,152000.6555,229852.8901,244406.8915,260230.335,228187.2526,199518.478,231392.8112,197752.3078,170700.8978,223018.1377,217169.0934,240009.3576,168994.696,185300.9379,164495.1246,354578.7436,232855.9514,265954.9846,196704.72,271155.2109,281373.83
330,NA,NA,"2-Chloro-1-propanol;","16.0437500846962;","MS1 mz matched",95.02005096,106.747,31928.30716,27118.91384,33459.4663,31395.70737,30228.12095,32372.73016,36780.40773,31844.6555,28775.98911,30321.27595,27042.39947,29482.40995,20542.08063,25462.51263,24020.87545,29098.54973,25023.87242,32570.1708,18212.2333,17083.725,28409.40758,19647.53479,30224.27407,21141.75858,26427.89805,31889.56105,34373.0934,36894.08037,27099.45218,34946.52416,23583.91639,33344.28267,28515.18221,44833.60526,27936.29163,18019.14063,32658.18458,24118.72283,20962.74395,29253.45456,28776.15411,31272.64763,36628.42279,41768.03458,24659.22684,40725.39559,34587.06158,28850.11963,31762.144,38190.00342,27754.52,23729.78763,36623.42516,28771.14883,34545.0226,31549.678,31171.09596,30551.426,43671.68388,46760.84479,35033.0057,25798.44579,21039.42916,29292.12168,29222.62083,30495.87333,30689.5163,33005.35095,38805.29311,21162.54195,30558.63275,27481.18154,35267.61395,21484.94389,31852.90044,23604.41358,32227.70355,31057.21611
347,"2(1H)-Pyridinone",0.9912,NA,NA,"MS2 reverse",96.04472398,101.278,27629.80405,24146.77832,32381.63974,26375.43055,37382.02003,25166.868,26132.96842,23782.44974,29520.39631,23671.5418,28245.34368,23733.14289,23723.2408,26326.01411,24015.01163,19187.78068,16403.67905,19664.32137,14639.09005,21222.10874,20095.74837,29208.23947,16609.11437,14114.26221,13586.06608,17302.01796,38656.4736,23234.09347,20838.39163,36968.09115,19658.09347,20100.34484,16970.09921,25685.33984,26826.2491,16196.84305,18323.04519,31532.73158,12537.47467,16768.05064,15174.65657,18997.06947,28916.73645,18654.18442,17667.93757,26696.84068,16203.58825,11771.70437,17727.1875,14167.94223,17529.974,15648.77002,28256.88553,15321.01015,12739.38897,27657.08289,12485.43047,13111.32493,12546.06306,12253.19883,31223.90453,17269.32,24092.50811,26706.10763,18498.82953,16686.31106,17144.99684,22857.87558,27406.66317,21822.47863,31449.48421,18813.02747,21866.90856,27593.0037,18856.08533,14117.06083,16592.29647,16207.07997
349,NA,NA,NA,NA,"Unmapped",96.04768109,26.7905,103574.854,91167.78,82388.83245,80818.70833,79658.67231,100117.4525,102413.6483,101278.9232,97255.43,97086.12308,50418.69643,39831.795,72059.32,61495.76962,53189.76738,41050.87467,42927.65538,33071.98462,27984.258,35633.55523,24398.57569,30547.1775,52134.47862,34118.26765,45023.08333,72488.99769,125696.5725,88807.29282,83555.29262,105465.0585,87979.94007,78604.37258,63016.96,78615.01391,65166.44,42974.39731,70226.8175,64902.45909,84782.87154,98117.45882,101431.9031,137764.4,102254.4,88618.03627,134336.917,137763.9746,138271.0402,61555.44858,88669.5645,89159.17769,66489.08677,106101.2465,127764.4394,99998.84308,79570.31143,78674.97023,126624.1123,68563.64679,131170.1029,380069.2269,65026.0728,41797.14286,44466.79889,67158.50654,35300.23838,28965.03261,45563.64423,28563.114,53061.0518,34966.78738,60085.33154,40728.8055,41570.76,20524.78,54051.16492,56854.94923,56982.46675,60499.30857
360,".beta.-Cyano-L-alanine",0.9077,NA,NA,"MS2 forward",97.03984334,76.893,43692.09014,62968.56286,50666.2457,51111.58462,50336.00025,47276.27425,46713.04221,48549.87347,45454.09467,60047.99665,49869.75,68489.65865,42979.82258,41332.131,44638.0451,55624.20404,45314.7456,44714.63656,71898.40634,60820.2973,46475.16751,42151.14697,51211.13043,56592.89143,46509.84414,43049.85545,51264.51165,60936.04893,67104.60252,41210.16931,55230.7305,49455.2745,48288.34083,42968.03539,52253.26254,66616.37886,62891.994,42677.67205,71755.06605,46369.31258,49482.52459,131133.796,55348.7867,56574.22058,132604.0328,55830.30198,70330.38412,69474.57769,50655.14657,55539.23895,58847.35293,46539.27771,41241.983,90575.79033,98726.29291,55821.3811,87801.20976,68547.32947,56530.35495,53048.33511,61719.31659,39723.42239,48730.61833,45124.24487,57310.10271,61048.25511,49470.46155,35955.31673,46824.61,56665.9242,39579.22598,50989.16041,68771.16556,56391.70266,43404.72934,79388.07433,52579.4895,47576.51141
373,"Iminodiacetic acid",0.7869,NA,NA,"MS2 reverse",98.02392867,76.762,563309.3297,535489.0371,548363.933,589276.4784,567441.1919,584648.0436,575862.9864,548036.4026,532353.8046,549313.0419,462333.8824,400632.1872,442006.3715,464840.385,524951.2248,483326.2011,469804.169,373102.9282,195803.4918,408176.9339,516308.1414,324329.0255,385022.9882,481590.2544,457840.1637,455449.7058,545398.2808,468145.92,361945.7976,517460.2905,398401.8694,608549.1377,463408.5822,414660.2882,329399.6723,374414.0894,556398.6328,378528.1218,349414.8259,433696.0365,548859.3676,694679.4429,581230.9718,472041.4327,527380.0381,542857.9072,517996.7199,530769.0562,503022.0547,422496.7328,341710.6659,416293.3696,502135.3595,483499.2318,609994.3613,498906.4824,479853.255,499073.4905,583401.2268,715908.735,559793.003,324571.1268,452560.1924,482418.4119,473901.4871,484534.827,484241.1201,377182.5482,472639.2739,463674.9,346596.4794,331904.6118,685932.3442,329956.9984,531763.0782,511546.0959,543816.1698,479885.6629
